Gene Symbol,gene description from mart,GO from mart,GO from mart,ENTREZ GENE ID,biological process,Fold change
Os01g0100100,RabGAP/TBC domain containing protein,GO:0006886,intracellular protein transport,4330438,response to water deprivation,1.697056771
Os01g0100200,Conserved hypothetical protein,,,4334549,response to water deprivation,4.284311765
Os01g0100400,Similar to Pectinesterase-like protein,GO:0005507,copper ion binding,4333544,response to water deprivation,1.901698589
Os01g0100500,Immunoglobulin-like domain containing protein,GO:0016021,integral component of membrane,9268873,response to water deprivation,3.149867659
Os01g0100600,Single-stranded nucleic acid binding R3H domain containing protein,GO:0003676,nucleic acid binding,4332116,response to water deprivation,2.21472732
Os01g0100700,Similar to 40S ribosomal protein S5-1,GO:0019843,rRNA binding,,response to water deprivation,-1.15735818
Os01g0100800,Protein of unknown function DUF1664 family protein,,,4331143,response to water deprivation,3.250842529
Os01g0100800,Protein of unknown function DUF1664 family protein,,,4336644,response to water deprivation,3.814968017
Os01g0100900,"Sphingosine-1-phosphate lyase, Disease resistance respons",GO:0016831,carboxy-lyase activity,4329150,response to water deprivation,3.868536357
Os01g0101200,"2,3-diketo-5-methylthio-1-phosphopentane phosphatase domain containing protein",GO:0019509,L-methionine salvage from methylthioadenosine,4326606,response to water deprivation,4.761639719
Os01g0101200,"2,3-diketo-5-methylthio-1-phosphopentane phosphatase domain containing protein",GO:0019509,L-methionine salvage from methylthioadenosine,4326606,response to water deprivation,1.363199711
Os01g0101300,"Similar to MRNA, partial cds, clone: RAFL22-26-L17. (Fragment)",GO:0061015,snRNA import into nucleus,4336039,response to water deprivation,2.921075314
Os01g0101600,Immunoglobulin-like fold domain containing protein,GO:0003723,RNA binding,4327552,response to water deprivation,3.100435228
Os01g0101600,Immunoglobulin-like fold domain containing protein,GO:0003723,RNA binding,4327553,response to water deprivation,4.683542816
Os01g0101700,Similar to chaperone protein dnaJ 20,GO:0010322,"regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",,response to water deprivation,4.61922132
Os01g0101800,Conserved hypothetical protein,,,4333377,response to water deprivation,6.734147235
Os01g0101800,Conserved hypothetical protein,,,4333378,response to water deprivation,-1.566133395
Os01g0101900,Similar to OSIGBa0075F02.3 protein,GO:0016021,integral component of membrane,4333577,response to water deprivation,-2.187968652
Os01g0102000,Phosphoesterase family protein,GO:0009395,phospholipid catabolic process,4333576,response to water deprivation,1.946849919
Os01g0102000,Phosphoesterase family protein,GO:0009395,phospholipid catabolic process,4333576,response to water deprivation,7.215327682
Os01g0102300,"Thylakoid lumen protein, Photosynthesis and chloroplast developmen",GO:0009543,chloroplast thylakoid lumen,4347065,response to water deprivation,5.771744927
Os01g0102400,Histone-fold domain containing protein,GO:0046982,protein heterodimerization activity,4337491,response to water deprivation,5.098451969
Os01g0102500,Conserved hypothetical protein,,,4326607,response to water deprivation,7.469089495
Os01g0102600,Shikimate kinase domain containing protein,,,4348806,response to water deprivation,7.518457704
Os01g0102600,Shikimate kinase domain containing protein,GO:0010027,thylakoid membrane organization,,response to water,1.697056771
Os01g0102700,Translocon-associated beta family protein,GO:0005783,endoplasmic reticulum,107278601,response to water,4.284311765
Os01g0102800,Similar to chromatin remodeling complex subunit,GO:0005524,ATP binding,4330557,response to water,1.901698589
Os01g0102900,"Light-regulated protein, Regulation of light-dependent attachment of LEAF-TYPE FERREDOXIN-NADP+ OXIDOREDUCTASE (LFNR) to the thylakoid membran",GO:0009535,chloroplast thylakoid membrane,4335011,response to water,3.149867659
Os01g0103000,Snf7 family protein,GO:0007034,vacuolar transport,4332938,response to water,2.21472732
Os01g0103000,,,,9267324,response to water,-1.15735818
Os01g0103000,,,,4340969,response to water,3.250842529
Os01g0103100,"TGF-beta receptor, type I/II extracellular region family protein",GO:0022857,transmembrane transporter activity,4333974,response to water,3.814968017
Os01g0103500,Hypothetical gene,,,107276772,response to water,3.868536357
Os01g0103600,"Similar to sterol-8,7-isomerase",GO:0047750,cholestenol delta-isomerase activity,107275408,response to water,4.761639719
Os01g0103600,"Similar to sterol-8,7-isomerase",GO:0047750,cholestenol delta-isomerase activity,4334553,response to water,1.363199711
Os01g0103600,"Similar to sterol-8,7-isomerase",GO:0047750,cholestenol delta-isomerase activity,4334554,response to water,2.921075314
Os01g0103700,Conserved hypothetical protein,GO:0016180,snRNA processing,4341714,response to water,3.100435228
Os01g0103800,Conserved hypothetical protein,,,4347396,response to water,4.683542816
Os01g0103800,Conserved hypothetical protein,,,4347397,response to water,4.61922132
Os01g0103900,"Polynucleotidyl transferase, Ribonuclease H fold domain containing protein",,,,response to water,6.734147235
Os01g0104000,C-type lectin domain containing protein,GO:0004713,protein tyrosine kinase activity,4324580,response to water,-1.566133395
Os01g0104100,Similar to protein binding / zinc ion binding,GO:0061630,ubiquitin protein ligase activity,4333334,response to water,-2.187968652
Os01g0104100,Similar to protein binding / zinc ion binding,GO:0061630,ubiquitin protein ligase activity,4333334,response to water,1.946849919
Os01g0104100,,,,4333337,response to water,7.215327682
Os01g0104100,Similar to protein binding / zinc ion binding,GO:0061630,ubiquitin protein ligase activity,4333337,response to water,5.771744927
Os01g0104200,No apical meristem (NAM) protein domain containing protein,GO:0006355,"regulation of transcription, DNA-templated",4347408,response to water,5.098451969
Os01g0104400,Ricin B-related lectin domain containing protein,,,4323951,response to water,7.469089495
Os01g0104400,Ricin B-related lectin domain containing protein,,,4323951,response to water,7.518457704
Os01g0104600,"Homolog of Arabidopsis DE-ETIOLATED1 (DET1), Modulation of the ABA signaling pathway and ABA biosynthesis, Regulation of chlorophyll conten",GO:0005634,nucleus,4334806,response to acid chemical,1.789689657
Os01g0104600,,,,4347447,response to acid chemical,2.659239913
Os01g0104800,,,,4347460,response to acid chemical,1.697056771
Os01g0104800,Sas10/Utp3 family protein,,,4347461,response to acid chemical,4.284311765
Os01g0104800,,,,4347462,response to acid chemical,2.20815339
Os01g0104900,,,,4324113,response to acid chemical,1.901698589
Os01g0104900,Transferase family protein,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",4348727,response to acid chemical,3.149867659
Os01g0105300,"Similar to Transposon Dart DNA, complete sequence",,,4333835,response to acid chemical,2.21472732
Os01g0105300,,,,4349014,response to acid chemical,1.993478077
Os01g0105400,Similar to Kinesin heavy chain,GO:0007018,microtubule-based movement,4338062,response to acid chemical,-1.15735818
Os01g0105400,,,,,response to acid chemical,1.117510755
Os01g0105700,Basic helix-loop-helix dimerisation region bHLH domain containing protein,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",4336036,response to acid chemical,3.250842529
Os01g0105700,,,,4336037,response to acid chemical,3.814968017
Os01g0105700,Basic helix-loop-helix dimerisation region bHLH domain containing protein,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",4336038,response to acid chemical,1.104343922
Os01g0105800,Similar to Iron sulfur assembly protein 1,GO:0097428,protein maturation by iron-sulfur cluster transfer,4334220,response to acid chemical,-1.743843876
Os01g0105800,,,,4334221,response to acid chemical,3.868536357
Os01g0105800,Similar to Iron sulfur assembly protein 1,GO:0097428,protein maturation by iron-sulfur cluster transfer,4334222,response to acid chemical,4.761639719
Os01g0105900,Carbohydrate/purine kinase domain containing protein,GO:0016301,kinase activity,4348867,response to acid chemical,5.335881704
Os01g0106200,Similar to RER1A protein (AtRER1A),GO:0006890,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",107276907,response to acid chemical,4.296962008
Os01g0106200,,,,4334518,response to acid chemical,-1.0899305
Os01g0106300,Similar to Isoflavone reductase homolog IRL (EC 1.3.1.-),,,4333326,response to acid chemical,0.321353917
Os01g0106400,Similar to Isoflavone reductase homolog IRL (EC 1.3.1.-),,,,response to acid chemical,1.363199711
Os01g0106400,,,,4327577,response to acid chemical,2.153850023
Os01g0106500,Conserved hypothetical protein,,,,response to acid chemical,4.096090388
Os01g0106600,Similar to Chitin-binding lectin 1 precursor (PL-I),,,4334503,response to acid chemical,1.892605539
Os01g0106600,Similar to Chitin-binding lectin 1 precursor (PL-I),,,4334504,response to acid chemical,-2.498483501
Os01g0106700,Hypothetical conserved gene,GO:0000077,DNA damage checkpoint,4324947,response to acid chemical,2.43078882
Os01g0106800,Similar to RING-box protein 1A (Regulator of cullins 1a) (dRbx1),GO:0031461,cullin-RING ubiquitin ligase complex,4328859,response to acid chemical,2.921075314
Os01g0106900,Similar to 1-deoxy-D-xylulose 5-phosphate reductoisomerase (Fragment),GO:0070402,NADPH binding,4326294,response to acid chemical,3.100435228
Os01g0107000,Similar to peroxin Pex14,GO:0016560,"protein import into peroxisome matrix, docking",4331770,response to acid chemical,4.683542816
Os01g0107000,Similar to peroxin Pex14,GO:0016560,"protein import into peroxisome matrix, docking",4331771,response to acid chemical,4.61922132
Os01g0107000,,,,9266605,response to acid chemical,1.310887019
Os01g0107400,Conserved hypothetical protein,,,4335497,response to acid chemical,1.650489722
Os01g0107700,Similar to LIMONENE cyclase like protein,GO:0016757,"transferase activity, transferring glycosyl groups",4334009,response to acid chemical,6.734147235
Os01g0107700,Similar to LIMONENE cyclase like protein,GO:0016757,"transferase activity, transferring glycosyl groups",4334010,response to acid chemical,-1.566133395
Os01g0107900,Protein of unknown function DUF3506 domain containing protein,,,4334846,response to acid chemical,-2.187968652
Os01g0107900,Protein of unknown function DUF3506 domain containing protein,,,,response to acid chemical,1.946849919
Os01g0107900,Pectinesterase inhibitor domain containing protein,GO:0004857,enzyme inhibitor activity,,response to acid chemical,7.215327682
Os01g0108000,,,,4324958,response to acid chemical,5.771744927
Os01g0108000,,,,,response to acid chemical,5.098451969
Os01g0108000,Conserved hypothetical protein,GO:0005886,plasma membrane,4328810,response to acid chemical,7.469089495
Os01g0108200,Similar to Prolyl endopeptidase (EC 3.4.21.26) (Post-proline cleaving enzyme) (PE),GO:0070008,serine-type exopeptidase activity,4326884,response to acid chemical,7.518457704
Os01g0108200,Similar to Prolyl endopeptidase (EC 3.4.21.26) (Post-proline cleaving enzyme) (PE),GO:0070008,serine-type exopeptidase activity,4326884,response to abscisic acid,2.659239913
Os01g0108400,Helix-loop-helix DNA-binding domain containing protein,GO:0006357,regulation of transcription by RNA polymerase II,4325795,response to abscisic acid,1.697056771
Os01g0108400,Helix-loop-helix DNA-binding domain containing protein,GO:0006357,regulation of transcription by RNA polymerase II,4325796,response to abscisic acid,4.284311765
Os01g0108400,,,,,response to abscisic acid,2.20815339
Os01g0108400,,,,,response to abscisic acid,3.149867659
Os01g0108600,Basic helix-loop-helix dimerisation region bHLH domain containing protein,GO:0006357,regulation of transcription by RNA polymerase II,4332813,response to abscisic acid,2.21472732
Os01g0108700,Hypothetical protein,,,,response to abscisic acid,1.993478077
Os01g0108800,"Protein of unknown function DUF936, plant family protein",,,4348504,response to abscisic acid,-1.15735818
Os01g0109000,"Similar to Late embryogenesis abundant protein, group 3",,,4338497,response to abscisic acid,1.117510755
Os01g0109300,Similar to predicted protein,GO:0005634,nucleus,,response to abscisic acid,3.250842529
Os01g0109500,Conserved hypothetical protein,,,4334609,response to abscisic acid,1.104343922
Os01g0109700,Similar to Paired amphipathic helix repeat-containing protein / transcription regulator-related,GO:0003714,transcription corepressor activity,4346401,response to abscisic acid,3.868536357
Os01g0109700,Similar to Paired amphipathic helix repeat-containing protein / transcription regulator-related,GO:0003714,transcription corepressor activity,4346401,response to abscisic acid,5.335881704
Os01g0109750,Paired amphipathic helix domain containing protein,GO:0006355,"regulation of transcription, DNA-templated",,response to abscisic acid,4.296962008
Os01g0109750,Paired amphipathic helix domain containing protein,GO:0006355,"regulation of transcription, DNA-templated",,response to abscisic acid,-1.0899305
Os01g0110100,"Phosphate (Pi) transporter, Pi homeostasi",GO:0005794,Golgi apparatus,,response to abscisic acid,0.321353917
Os01g0110100,"Phosphate (Pi) transporter, Pi homeostasi",GO:0005794,Golgi apparatus,,response to abscisic acid,1.363199711
Os01g0110200,Conserved hypothetical protein,,,4344570,response to abscisic acid,2.153850023
Os01g0110400,Similar to Acetyl-CoA C-acetyltransferase,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",4327405,response to abscisic acid,4.096090388
Os01g0110500,"Protein kinase, core domain containing protein",GO:0006468,protein phosphorylation,4327262,response to abscisic acid,1.892605539
Os01g0110700,Similar to Phosphoenolpyruvate carboxylase (EC 4.1.1.31),GO:0006099,tricarboxylic acid cycle,4333604,response to abscisic acid,2.43078882
Os01g0110700,Similar to Phosphoenolpyruvate carboxylase (EC 4.1.1.31),GO:0006099,tricarboxylic acid cycle,4338740,response to abscisic acid,2.921075314
Os01g0110700,,,,,response to abscisic acid,4.683542816
Os01g0110800,"Leucine-rich repeat, plant specific containing protein",GO:0005515,protein binding,,response to abscisic acid,1.310887019
Os01g0111000,Pectinesterase inhibitor domain containing protein,GO:0004857,enzyme inhibitor activity,,response to abscisic acid,6.734147235
Os01g0111100,Cyclophilin-like domain containing protein,GO:0003755,peptidyl-prolyl cis-trans isomerase activity,4334271,response to abscisic acid,7.215327682
Os01g0111200,Like-Sm ribonucleoprotein (LSM)-related domain domain containing protein,GO:0003729,mRNA binding,4327453,response to abscisic acid,5.771744927
Os01g0111300,Conserved hypothetical protein,,,4342945,response to abscisic acid,5.098451969
Os01g0111300,,,,,response to abscisic acid,7.469089495
Os01g0111400,"Zinc finger, BED-type predicted domain containing protein",GO:0003677,DNA binding,4334157,response to abscisic acid,7.518457704
Os01g0111400,"Zinc finger, BED-type predicted domain containing protein",GO:0003677,DNA binding,4334158,response to lipid,2.659239913
Os01g0111500,"ROOT HAIR DEFECTIVE-SIX LIKE (RSL) class I basic helix-loop-helix protein, bHLH transcription factor, Regulation of root hair developmen",GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",4332910,response to lipid,1.697056771
Os01g0111600,Similar to MOTHER of FT and TF1 protein,,,4332711,response to lipid,4.284311765
Os01g0111700,Conserved hypothetical protein,GO:0016021,integral component of membrane,4332860,response to lipid,2.20815339
